season,week,position,pool_n,repl_rank,repl_fwd3,pool_mean,decision_rank_before,decision_pts,repl_pctile
2019,7,TE,44,2,12.1333,3.8903,11.7000,3.4500,0.9545
2019,7,WR,65,6,7.7000,2.4764,0.8500,7.7000,0.9077
2019,8,QB,15,2,19.8733,10.9433,18.8533,-0.0500,0.8667
2019,8,RB,38,5,5.9500,2.5332,-0.3000,2.2000,0.8684
2019,8,TE,46,2,14.9000,3.2541,5.7667,2.2400,0.9565
2019,8,WR,71,6,8.2333,2.6981,0.6000,3.3000,0.9155
2019,9,QB,10,2,16.3467,12.5440,14.1067,7.7400,0.8000
2019,9,RB,36,5,5.2000,1.8713,6.1000,5.2000,0.8611
2019,9,TE,40,2,7.9333,3.1096,3.3667,7.1333,0.9500
2019,9,WR,60,6,6.7667,2.3539,3.7500,13.2333,0.9000
2019,10,QB,10,2,18.2733,11.6537,23.0700,23.0700,0.8000
2019,10,RB,28,5,4.4333,2.4871,1.3000,2.8667,0.8214
2019,10,TE,38,2,12.1667,3.1167,14.9000,14.9000,0.9474
2019,10,WR,50,6,6.8333,3.0057,0.7000,0.0000,0.8800
2019,11,QB,16,2,21.5267,8.3038,21.5267,24.5867,0.8750
2019,11,RB,36,5,7.2667,2.7375,3.0000,9.1333,0.8611
2019,11,TE,41,2,8.1333,3.3110,6.2000,4.8333,0.9512
2019,11,WR,56,6,6.7000,2.7455,2.0333,2.5667,0.8929
2019,12,QB,17,2,21.8267,6.4945,17.6733,26.5333,0.8824
2019,12,RB,32,5,6.3333,3.0135,4.5333,4.5333,0.8438
2019,12,TE,41,2,10.3333,4.7984,4.8333,1.3667,0.9512
2019,12,WR,58,6,7.3333,3.1782,4.1333,0.3333,0.8966
2019,13,QB,18,2,22.1400,11.7189,15.1867,18.8667,0.8889
2019,13,RB,41,5,6.8000,2.8154,5.0333,2.4667,0.8780
2019,13,TE,45,2,12.1667,4.8978,3.8667,7.2667,0.9556
2019,13,WR,74,6,8.3667,3.2810,5.2667,20.1000,0.9189
2019,14,QB,17,2,21.9200,10.2929,17.5267,21.9200,0.8824
2019,14,RB,45,5,7.6000,3.5726,5.4667,1.3333,0.8889
2019,14,TE,54,2,10.1667,3.1938,10.0667,5.7333,0.9630
2019,14,WR,79,6,8.9333,3.0824,2.1667,0.7333,0.9241
2019,15,QB,18,2,22.4400,9.3778,27.9800,27.9800,0.8889
2019,15,RB,45,5,8.6000,3.4967,4.3500,19.3500,0.8889
2019,15,TE,47,2,11.5500,3.6128,5.4500,8.9500,0.9574
2019,15,WR,73,6,9.6500,3.3208,2.6000,8.2500,0.9178
2019,16,QB,19,2,20.0600,8.6968,24.3000,24.3000,0.8947
2019,16,RB,43,5,9.7000,3.9093,33.8000,11.7000,0.8837
2019,16,TE,57,2,13.5000,3.2368,11.9000,0.7000,0.9649
2019,16,WR,77,6,13.4000,3.4961,0.0000,9.2000,0.9221
2020,2,QB,17,2,21.1000,12.9286,9.8333,21.1000,0.8824
2020,2,RB,43,5,8.5000,4.0891,8.0667,1.8000,0.8837
2020,2,TE,48,2,10.2000,4.0924,8.3667,9.2000,0.9583
2020,2,WR,88,6,12.2000,3.8589,1.7000,4.1667,0.9318
2020,3,QB,17,2,20.4067,11.5886,18.8333,22.7533,0.8824
2020,3,RB,41,5,5.3667,2.9126,5.3667,13.7500,0.8780
2020,3,TE,50,2,11.7667,3.5577,8.0000,5.1000,0.9600
2020,3,WR,78,6,11.6333,3.5882,2.6000,6.4500,0.9231
2020,4,QB,18,2,16.8733,6.6606,15.1800,0.0000,0.8889
2020,4,RB,41,5,5.7667,2.5024,0.0000,6.0500,0.8780
2020,4,TE,51,2,14.2667,4.0337,4.0333,2.1000,0.9608
